session_id,pupil.location,running.running_speed,drifting_gratings.orientation,drifting_gratings.temporal_frequency,static_gratings.phase,static_gratings.spatial_frequency,static_gratings.orientation,natural_scenes.frame,natural_movie_one.frame,natural_movie_two.frame,natural_movie_three.frame,locally_sparse_noise.frame
582649269.h5,True,True,False,False,False,False,False,False,True,True,False,True
601374506.h5,False,True,False,False,True,True,True,True,True,False,False,False
613586002.h5,False,True,False,False,False,False,False,False,True,True,False,True
571006300.h5,True,True,True,True,False,False,False,False,True,False,True,False
617405912.h5,False,True,False,False,False,False,False,False,True,True,False,True
562660121.h5,True,True,False,False,True,True,True,True,True,False,False,False
653551965.h5,False,True,True,True,False,False,False,False,True,False,True,False
591548033.h5,False,True,True,True,False,False,False,False,True,False,True,False
584533518.h5,False,True,False,False,True,True,True,True,True,False,False,False
603863146.h5,False,True,False,False,True,True,True,True,True,False,False,False
510814438.h5,True,True,False,False,False,False,False,False,True,True,False,True
659491419.h5,False,True,True,True,False,False,False,False,True,False,True,False
511434920.h5,True,True,False,False,True,True,True,True,True,False,False,False
638262098.h5,False,True,False,False,False,False,False,False,True,True,False,True
501933264.h5,False,True,True,True,False,False,False,False,True,False,True,False
605674734.h5,False,True,False,False,False,False,False,False,True,True,False,True
569431665.h5,False,True,False,False,True,True,True,True,True,False,False,False
563582972.h5,True,True,False,False,False,False,False,False,True,True,False,True
662982346.h5,False,True,True,True,False,False,False,False,True,False,True,False
657080632.h5,False,True,True,True,False,False,False,False,True,False,True,False
685816006.h5,False,True,True,True,False,False,False,False,True,False,True,False
573083539.h5,True,True,True,True,False,False,False,False,True,False,True,False
644949526.h5,False,True,False,False,True,True,True,True,True,False,False,False
570428252.h5,True,True,False,False,False,False,False,False,True,True,False,True
649409874.h5,False,True,True,True,False,False,False,False,True,False,True,False
505017668.h5,True,True,False,False,False,False,False,False,True,True,False,True
558387203.h5,True,True,False,False,False,False,False,False,True,True,False,True
569252439.h5,True,True,False,False,True,True,True,True,True,False,False,False
603926442.h5,False,True,False,False,True,True,True,True,True,False,False,False
613974468.h5,False,True,False,False,False,False,False,False,True,True,False,True
703308071.h5,False,True,True,True,False,False,False,False,True,False,True,False
575890352.h5,True,True,False,False,True,True,True,True,True,False,False,False
573850303.h5,True,True,True,True,False,False,False,False,True,False,True,False
662219852.h5,False,True,True,True,False,False,False,False,True,False,True,False
648186871.h5,False,True,False,False,False,False,False,False,True,True,False,True
506823562.h5,True,True,True,True,False,False,False,False,True,False,True,False
562052595.h5,True,True,True,True,False,False,False,False,True,False,True,False
658024115.h5,False,True,False,False,True,True,True,True,True,False,False,False
623594229.h5,False,True,False,False,False,False,False,False,True,True,False,True
672675715.h5,False,True,False,False,False,False,False,False,True,True,False,True
570236726.h5,False,True,False,False,False,False,False,False,True,True,False,True
510517609.h5,False,True,False,False,True,True,True,True,True,False,False,False
575795843.h5,False,True,False,False,False,False,False,False,True,True,False,True
649938123.h5,False,True,False,False,False,False,False,False,True,True,False,True
644051974.h5,False,True,True,True,False,False,False,False,True,False,True,False
689402473.h5,False,True,False,False,True,True,True,True,True,False,False,False
680600666.h5,False,True,False,False,True,True,True,True,True,False,False,False
562222842.h5,False,True,False,False,True,True,True,True,True,False,False,False
569933532.h5,True,True,False,False,False,False,False,False,True,True,False,True
701047896.h5,False,True,False,False,False,False,False,False,True,True,False,True
500964514.h5,False,True,False,False,True,True,True,True,True,False,False,False
585035184.h5,False,True,True,True,False,False,False,False,True,False,True,False
557520764.h5,True,True,False,False,False,False,False,False,True,True,False,True
560802931.h5,True,True,False,False,True,True,True,True,True,False,False,False
657082055.h5,False,True,True,True,False,False,False,False,True,False,True,False
636889229.h5,False,True,False,False,False,False,False,False,True,True,False,True
511242327.h5,False,True,False,False,False,False,False,False,True,True,False,True
666550608.h5,False,True,False,False,True,True,True,True,True,False,False,False
645690246.h5,False,True,False,False,False,False,False,False,True,True,False,True
649938038.h5,False,True,True,True,False,False,False,False,True,False,True,False
665726618.h5,False,True,True,True,False,False,False,False,True,False,True,False
653122445.h5,False,True,False,False,True,True,True,True,True,False,False,False
528792732.h5,False,True,False,False,False,False,False,False,True,True,False,True
673475038.h5,False,True,False,False,True,True,True,True,True,False,False,False
639117196.h5,False,True,True,True,False,False,False,False,True,False,True,False
682734376.h5,False,True,False,False,False,False,False,False,True,True,False,True
555237087.h5,True,True,False,False,False,False,False,False,True,True,False,True
555356387.h5,True,True,False,False,False,False,False,False,True,True,False,True
500860585.h5,True,True,False,False,True,True,True,True,True,False,False,False
603592541.h5,False,True,True,True,False,False,False,False,True,False,True,False
669861524.h5,False,True,True,True,False,False,False,False,True,False,True,False
574415929.h5,False,True,False,False,True,True,True,True,True,False,False,False
577820172.h5,True,True,False,False,True,True,True,True,True,False,False,False
612536911.h5,False,True,True,True,False,False,False,False,True,False,True,False
652094917.h5,False,True,True,True,False,False,False,False,True,False,True,False
660065952.h5,False,True,False,False,True,True,True,True,True,False,False,False
616779893.h5,False,True,True,True,False,False,False,False,True,False,True,False
554014020.h5,False,True,False,False,False,False,False,False,True,True,False,True
589637407.h5,False,True,False,False,True,True,True,True,True,False,False,False
556999461.h5,True,True,False,False,True,True,True,True,True,False,False,False
662348706.h5,False,True,False,False,False,False,False,False,True,True,False,True
591780793.h5,False,True,False,False,False,False,False,False,True,True,False,True
674678616.h5,False,True,False,False,False,False,False,False,True,True,False,True
504625475.h5,False,True,False,False,True,True,True,True,True,False,False,False
506356888.h5,True,True,False,False,False,False,False,False,True,True,False,True
637994504.h5,False,True,False,False,True,True,True,True,True,False,False,False
584235345.h5,False,True,False,False,False,False,False,False,True,True,False,True
602170460.h5,False,True,False,False,True,True,True,True,True,False,False,False
575232864.h5,True,True,False,False,True,True,True,True,True,False,False,False
526768996.h5,True,True,False,False,False,False,False,False,True,True,False,True
601705404.h5,False,True,True,True,False,False,False,False,True,False,True,False
569407590.h5,True,True,False,False,True,True,True,True,True,False,False,False
530739576.h5,False,True,False,False,False,False,False,False,True,True,False,True
583149151.h5,True,True,False,False,True,True,True,True,True,False,False,False
574751273.h5,False,True,False,False,False,False,False,False,True,True,False,True
508356957.h5,False,True,True,True,False,False,False,False,True,False,True,False
710502981.h5,False,True,True,True,False,False,False,False,True,False,True,False
616770941.h5,False,True,False,False,False,False,False,False,True,True,False,True
577859418.h5,True,True,False,False,True,True,True,True,True,False,False,False
667372460.h5,False,True,False,False,False,False,False,False,True,True,False,True
601507932.h5,False,True,False,False,False,False,False,False,True,True,False,True
649399061.h5,False,True,False,False,False,False,False,False,True,True,False,True
603853341.h5,False,True,False,False,False,False,False,False,True,True,False,True
644386884.h5,False,True,True,True,False,False,False,False,True,False,True,False
526928092.h5,False,True,False,False,True,True,True,True,True,False,False,False
649398482.h5,False,True,False,False,True,True,True,True,True,False,False,False
584983527.h5,False,True,False,False,True,True,True,True,True,False,False,False
653123929.h5,False,True,True,True,False,False,False,False,True,False,True,False
579968437.h5,True,True,False,False,True,True,True,True,True,False,False,False
507552264.h5,True,True,False,False,False,False,False,False,True,True,False,True
562220433.h5,True,True,False,False,True,True,True,True,True,False,False,False
552410386.h5,False,True,True,True,False,False,False,False,True,False,True,False
659743436.h5,False,True,False,False,False,False,False,False,True,True,False,True
511458874.h5,False,True,False,False,True,True,True,True,True,False,False,False
662358771.h5,False,True,True,True,False,False,False,False,True,False,True,False
643586314.h5,False,True,False,False,False,False,False,False,True,True,False,True
712919665.h5,False,True,True,True,False,False,False,False,True,False,True,False
595452192.h5,False,True,False,False,True,True,True,True,True,False,False,False
704826374.h5,False,True,False,False,True,True,True,True,True,False,False,False
642884591.h5,False,True,True,True,False,False,False,False,True,False,True,False
707005501.h5,False,True,False,False,True,True,True,True,True,False,False,False
601274353.h5,False,True,False,False,False,False,False,False,True,True,False,True
512145745.h5,True,True,False,False,True,True,True,True,True,False,False,False
569478789.h5,True,True,False,False,True,True,True,True,True,False,False,False
571099190.h5,True,True,False,False,True,True,True,True,True,False,False,False
551412605.h5,False,True,False,False,False,False,False,False,True,True,False,True
645695159.h5,False,True,False,False,True,True,True,True,True,False,False,False
561472633.h5,True,True,True,True,False,False,False,False,True,False,True,False
671163047.h5,False,True,False,False,True,True,True,True,True,False,False,False
568775666.h5,True,True,False,False,True,True,True,True,True,False,False,False
539540432.h5,False,True,False,False,False,False,False,False,True,True,False,True
510656082.h5,True,True,False,False,False,False,False,False,True,True,False,True
587344053.h5,False,True,True,True,False,False,False,False,True,False,True,False
560916904.h5,True,True,False,False,True,True,True,True,True,False,False,False
591414748.h5,False,True,False,False,True,True,True,True,True,False,False,False
578485778.h5,True,True,False,False,False,False,False,False,True,True,False,True
601328878.h5,False,True,False,False,True,True,True,True,True,False,False,False
